Seed,Model,Exact Match Rate (%),VBS Match Rate (%),Precision (%),Recall (%),F1-Score (%),Mean Solution Cost,Gap to BKS (%),Cost Gain vs SBS (%),SBS Solver,Strategy
34,LightGBM Ranker (LTR),25.066723151874605,26.34187672103368,14.741158925724212,25.066723151874605,17.309379223201056,25740.069434441855,4.448992440396428,0.5587380142754563,Christofides + GLS,LightGBM Ranker (LTR)
34,Single Best Solver (SBS: Christofides + GLS),20.16098284261809,21.270917178563863,4.06465229180341,20.16098284261809,6.7653446162755255,25884.69707689049,4.876066943693668,0.0,Christofides + GLS,Single Best Solver (SBS)
34,Uniform Random Selection (1/9),10.942596907434865,11.645837746240204,16.030278211813904,10.942596907434865,12.547147461266558,26009.867570429993,5.9358993642152775,-0.48356947414792556,Christofides + GLS,Uniform Random Selection (1/9)
34,Virtual Best Solver (VBS / Upper Bound),100.0,100.0,100.0,100.0,100.0,25524.711424133304,3.360444293680836,1.390727701729903,Christofides + GLS,Virtual Best Solver (VBS / Upper Bound)
35,Gradient Boosting Classifier,20.38099506947557,21.74809502465262,19.701498249553396,20.38099506947557,19.118625854762538,23566.64179740027,4.54387071825932,0.6027025058962581,PCI + GLS,Gradient Boosting Classifier
35,Random Forest Classifier,17.64231286418646,19.09905871806365,18.98387696493608,17.64231286418646,13.12955534114252,23590.7762811893,4.699307338668146,0.5009102146708844,PCI + GLS,Random Forest Classifier
35,Multi-Layer Perceptron (MLP),17.812640071716718,19.184222321828777,17.805454305433855,17.812640071716718,17.3095107160726,23641.483034513672,4.905759593207415,0.2870437551018039,PCI + GLS,Multi-Layer Perceptron (MLP)
35,Gradient Boosting Regressor,20.806813088301208,22.138054683998206,14.053710554822604,20.806813088301208,7.912865892669191,23724.07261317795,4.942460669629022,-0.06129526540774118,PCI + GLS,Gradient Boosting Regressor
35,LightGBM Ranker (LTR),22.375616315553565,23.89959659345585,11.991663664157858,22.375616315553565,15.061959571873762,23549.356596444046,4.42315576006617,0.675606497753112,PCI + GLS,LightGBM Ranker (LTR)
35,Single Best Solver (SBS: PCI + GLS),18.83908561183326,20.318242940385478,3.549111466899829,18.83908561183326,5.9729700016245,23709.53978783804,4.855343043442102,0.0,PCI + GLS,Single Best Solver (SBS)
35,Uniform Random Selection (1/9),11.223666517256836,12.061855670103093,16.237759511908436,11.223666517256836,12.962141274439762,23848.001740624535,6.11797628183852,-0.5839925786223866,PCI + GLS,Uniform Random Selection (1/9)
35,Virtual Best Solver (VBS / Upper Bound),100.0,100.0,100.0,100.0,100.0,23338.790004482296,3.2493642042358206,1.5637156464163897,PCI + GLS,Virtual Best Solver (VBS / Upper Bound)
36,Gradient Boosting Classifier,26.572454015253477,28.133692238672047,24.131843383362785,26.572454015253477,24.598606856063824,21625.760109167044,4.561996639815274,0.6061272597449524,PCI + GLS,Gradient Boosting Classifier
36,Random Forest Classifier,28.443248093315386,30.183938986092418,19.42237089312956,28.443248093315386,22.3031709627159,21596.63360251234,4.41368531700418,0.7399952154233677,PCI + GLS,Random Forest Classifier
36,Multi-Layer Perceptron (MLP),20.892777030058323,22.72319425751458,17.99062044388222,20.892777030058323,17.819649098410316,21659.241857335128,4.811233183441867,0.45224223560056986,PCI + GLS,Multi-Layer Perceptron (MLP)
36,Gradient Boosting Regressor,21.1395244504262,22.44055630327501,4.509254830711102,21.1395244504262,7.432985539169336,21781.079968595783,4.976616857834233,-0.10773631148509831,PCI + GLS,Gradient Boosting Regressor
36,LightGBM Ranker (LTR),29.214894571556755,30.758187528039482,16.03824385763285,29.214894571556755,20.651582528798336,21588.127785254976,4.378260565056058,0.7790886906937142,PCI + GLS,LightGBM Ranker (LTR)
36,Single Best Solver (SBS: PCI + GLS),20.349932705248992,22.045760430686407,4.141197611081624,20.349932705248992,6.881927588981543,21757.639090773144,4.9844555725982165,0.0,PCI + GLS,Single Best Solver (SBS)
36,Uniform Random Selection (1/9),11.435621354867653,12.175863615971288,16.003548690475355,11.435621354867653,12.874730644300703,21916.557559443696,6.233841079542932,-0.7304030920245632,PCI + GLS,Uniform Random Selection (1/9)
36,Virtual Best Solver (VBS / Upper Bound),100.0,100.0,100.0,100.0,100.0,21443.815313294454,3.485645740494381,1.4423613525778858,PCI + GLS,Virtual Best Solver (VBS / Upper Bound)
37,Gradient Boosting Classifier,21.86142236450949,23.324948547907614,20.220694370859206,21.86142236450949,19.63145369071884,20815.39419163046,4.917952900625504,0.7251743081672192,PCI + GLS,Gradient Boosting Classifier
37,Random Forest Classifier,23.045963869197347,24.646695632289045,25.297511054261985,23.045963869197347,18.949990776256893,20817.47681225703,4.88232588457244,0.7152416689973062,PCI + GLS,Random Forest Classifier
37,Multi-Layer Perceptron (MLP),24.41801966613309,25.54767893894352,23.350724851683648,24.41801966613309,22.63245883831462,20833.463030718805,5.00811469024847,0.6389986232661664,PCI + GLS,Multi-Layer Perceptron (MLP)
37,Gradient Boosting Regressor,20.603704550651727,22.27303910359021,4.254856245733945,20.603704550651727,7.053167857194986,20977.32975836573,5.3091986892221215,-0.047144727107927206,PCI + GLS,Gradient Boosting Regressor
37,LightGBM Ranker (LTR),24.774754173336383,26.05533958380974,13.16430542582224,24.774754173336383,17.009507261215088,20826.330993215946,4.922110594641049,0.6730134381385473,PCI + GLS,LightGBM Ranker (LTR)
37,Single Best Solver (SBS: PCI + GLS),18.778870340727188,19.803338669105877,3.5264597127384327,18.778870340727188,5.937856965001412,20967.444713773915,5.373394715926704,0.0,PCI + GLS,Single Best Solver (SBS)
37,Uniform Random Selection (1/9),10.834667276469242,11.667047793276925,15.593899623891398,10.834667276469242,12.427487532579734,21091.83696165866,6.42903818931623,-0.5932637456915751,PCI + GLS,Uniform Random Selection (1/9)
37,Virtual Best Solver (VBS / Upper Bound),100.0,100.0,100.0,100.0,100.0,20585.8285692507,3.5991190632934447,1.82004125792459,PCI + GLS,Virtual Best Solver (VBS / Upper Bound)
38,Gradient Boosting Classifier,25.203892493049118,26.756255792400367,24.76838537347835,25.203892493049118,24.668805938684077,22760.338222119244,4.078375194695007,0.5688429784676553,PCI + GLS,Gradient Boosting Classifier
